"","PlanningPortalApplicationNumber","CostOfDevelopment","NumberOfNewDwellings","NumberOfStoreys","ApplicationStatus","ApplicationType","DeterminationAuthority","Council","DevelopmentType","FullAddress","X","Y","StreetNumber1","StreetName","StreetType","Suburb","Postcode","State","StreetNumber2","StreetSuffix","NumberOfExistingLots","AccompaniedByVPAFlag","EPIVariationProposedFlag","SubdivisionProposedFlag","NumberOfProposedLots","LodgementDate","DeterminationDate","AssessmentExhibitionEndDate","AssessmentExhibitionStartDate","DevelopmentSubjectToSICFlag","VariationToDevelopmentStandardsApprovedFlag","ModificationApplicationNumber"
"1146","PAN-400035",6262824,1,3,"Cancelled","Development Application","Unknown","Woollahra Municipal Council","Dwelling-Pools / decks / fencing-Balconies, decks, patios, terraces or verandahs-Demolition-Stormwater management systems-Earthworks / change in levels-Retaining walls, protection of trees-Garages, carports and car parking spaces","12 RAWSON ROAD ROSE BAY 2029","151.273190652","-33.866874243","12","RAWSON","ROAD","ROSE BAY","2029","New South Wales",NA,NA,1,"N","N","N",NA,NA,NA,NA,NA,NA,NA,NA
"1147","PAN-398591",20000000,58,16,"Withdrawn","Development Application","Unknown","Cumberland Council","Residential flat building-Alterations or additions to an existing building or structure","15 NEIL STREET MERRYLANDS 2160","150.993674781","-33.834036545","15","NEIL","STREET","MERRYLANDS","2160","New South Wales",NA,NA,NA,"N","N",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1148","PAN-176267",13922734,39,8,"Determined","Development Application","Council","Bayside Council","Residential flat building","19 KYLE STREET ARNCLIFFE 2205","151.150396165","-33.9380872","19","KYLE","STREET","ARNCLIFFE","2205","New South Wales",NA,NA,2,"N","N","N",NA,"2022-01-19","2023-12-05","2022-02-15T00:00:00","2022-01-26T00:00:00","Y","N",NA
"1149","PAN-193501",25775527,58,16,"Determined","Development Application","Local Planning Panel","Cumberland Council","Residential flat building-Mixed use development","13-15 Neil Street, Merrylands","150.993674781","-33.834036545",NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","N",NA,NA,"2022-03-09","2022-08-04","2022-04-15T00:00:00","2022-04-01T00:00:00","N","Y",NA
"1150","PAN-211636",19050000,24,9,"Determined","Development Application","Local Planning Panel","Sutherland Shire Council","Demolition-Mixed use development-Garages, carports and car parking spaces","67 GERRALE STREET CRONULLA 2230","151.152967138","-34.055834195","67","GERRALE","STREET","CRONULLA","2230","New South Wales",NA,NA,NA,NA,"Y",NA,NA,"2022-04-26","2023-08-01","2022-06-09T00:00:00","2022-05-18T00:00:00","N","Y",NA
"1151","PAN-353329",29975000,25,NA,"Additional Information Requested","Development Application","Unknown","Northern Beaches Council","Demolition-Shop top housing","35-39 BELGRAVE STREET MANLY 2095","151.285433988","-33.795981418","35","BELGRAVE","STREET","MANLY","2095","New South Wales","39",NA,NA,"N","Y","N",NA,"2023-07-26",NA,"2023-08-29T00:00:00","2023-08-01T00:00:00","N",NA,NA
"1152","PAN-130901",25206671,67,3,"Determined","Development Application","Council","Blacktown City Council","Dwelling-Secondary dwelling-Attached dwelling-Stratum / community title subdivision-Earthworks / change in levels-Garages, carports and car parking spaces","ROSETTA STREET SCHOFIELDS 2762","150.870817625","-33.704821833",NA,"ROSETTA","STREET","SCHOFIELDS","2762","New South Wales",NA,NA,1,"Y","N","Y",68,"2021-09-02","2023-12-22","2022-01-25T00:00:00","2021-12-22T00:00:00","Y",NA,NA
"1153","PAN-147702",6848600,12,9,"Determined","Development Application","Council","Wollongong City Council","Residential flat building","1 CHURCH STREET WOLLONGONG 2500","150.897868498","-34.415151976","1","CHURCH","STREET","WOLLONGONG","2500","New South Wales",NA,NA,NA,"N","N","N",NA,"2021-10-01","2022-09-12","2021-10-27T00:00:00","2021-10-12T00:00:00","N",NA,NA
"1154","PAN-148837",5240854.3,2,NA,"Determined","Development Application","Council","The Council of the Shire of Hornsby","Dwelling-Secondary dwelling-Demolition","11 URALLA ROAD DURAL 2158","151.04107217","-33.674907931","11","URALLA","ROAD","DURAL","2158","New South Wales",NA,NA,NA,"N","N","N",NA,"2021-10-07","2022-07-15","2021-11-02T00:00:00","2021-10-12T00:00:00","N",NA,NA
"1155","PAN-158917",12053522,33,6,"Determined","Development Application","Council","Port Macquarie-Hastings Council","Residential flat building","135 BRIDGE STREET PORT MACQUARIE 2444","152.901199268","-31.433260703","135","BRIDGE","STREET","PORT MACQUARIE","2444","New South Wales",NA,NA,2,"N","N","N",NA,"2021-11-09","2022-11-17","2021-12-06T00:00:00","2021-11-21T00:00:00","N",NA,NA
"1156","PAN-248671",5531592,0,NA,"Determined","Development Application","Council","Hawkesbury City Council","Demolition-Subdivision of land-Stormwater management systems-Earthworks / change in levels-Retaining walls, protection of trees","283 COMMERCIAL ROAD VINEYARD 2765","150.87393343","-33.644696162","283","COMMERCIAL","ROAD","VINEYARD","2765","New South Wales",NA,NA,1,"N","N","Y",91,"2022-08-18","2023-06-16","2022-10-12T00:00:00","2022-09-12T00:00:00","Y",NA,NA
"1157","PAN-276454",55261027,218,9,"Determined","Development Application","Sydney / Regional Planning Panel","Liverpool City Council","Centre based childcare-Garages, carports and car parking spaces-Food and drink premises-Hotel or motel accommodation-Restaurant or cafe-Office premises","LOT 1 DP 1172051 and LOT 2 DP 249818","147.959382432","-29.468656934",NA,NA,NA,NA,NA,NA,NA,NA,2,"N","N","N",NA,"2022-11-03","2023-12-22","2023-01-18T00:00:00","2022-12-13T00:00:00","N","Y",NA
"1158","PAN-287739",7247840,11,3,"Determined","Development Application","Council","Strathfield Municipal Council","Multi-dwelling housing","46 HENLEY ROAD HOMEBUSH WEST 2140","151.068588227","-33.86894075","46","HENLEY","ROAD","HOMEBUSH WEST","2140","New South Wales",NA,NA,2,"N","N","N",NA,"2023-01-24","2023-12-22","2023-02-18T00:00:00","2023-01-27T00:00:00","N",NA,NA
"1159","PAN-293141",34156630,60,6,"Determined","Development Application","Local Planning Panel","Council of the City of Sydney","Demolition-Residential flat building-Signage-Subdivision of land-Mixed use development-Co-living housing","5-19 MARY STREET SURRY HILLS 2010","151.209948976","-33.880710622","5","MARY","STREET","SURRY HILLS","2010","New South Wales","19",NA,1,"N","N","Y",2,"2022-12-22","2023-11-22","2023-01-31T00:00:00","2023-01-10T00:00:00","N",NA,NA
"1160","PAN-402027",5454000,1,5,"Cancelled","Development Application","Unknown","North Sydney Council","Dwelling","1 BADEN ROAD KURRABA POINT 2089","151.224133455","-33.846250883","1","BADEN","ROAD","KURRABA POINT","2089","New South Wales",NA,NA,1,"N","N","N",NA,NA,NA,NA,NA,NA,NA,NA
"1161","PAN-95646",5454000,1,5,"Determined","Development Application","Local Planning Panel","North Sydney Council","Dwelling","1 BADEN ROAD KURRABA POINT 2089","151.224133455","-33.846250883","1","BADEN","ROAD","KURRABA POINT","2089","New South Wales",NA,NA,1,"N","N","N",NA,"2021-05-04","2022-04-06","2021-06-18T00:00:00","2021-05-21T00:00:00","N","Y",NA
"1162","PAN-184857",19117993.4,28,10,"Determined","Development Application","Sydney / Regional Planning Panel","Liverpool City Council","Residential flat building","20 HUME HIGHWAY WARWICK FARM 2170","150.92906156","-33.914518135","20","HUME","HIGHWAY","WARWICK FARM","2170","New South Wales",NA,NA,1,"N","N","Y",28,"2022-01-13","2023-12-13","2022-04-08T00:00:00","2022-03-24T00:00:00","N",NA,NA
"1163","PAN-237445",33319049,80,4,"Under Assessment","Development Application","Unknown","Mid-Coast Council","Multi-dwelling housing-Residential flat building-Subdivision of land-Stratum / community title subdivision","OLD BAR ROAD OLD BAR 2430","152.590316904","-31.969356651",NA,NA,NA,NA,NA,NA,NA,NA,2,"N","Y","Y",88,"2022-08-04",NA,"2022-09-26T00:00:00","2022-08-12T00:00:00","N",NA,NA
"1164","PAN-237445",33319049,80,4,"Under Assessment","Development Application","Unknown","Mid-Coast Council","Multi-dwelling housing-Residential flat building-Subdivision of land-Stratum / community title subdivision","OLD BAR ROAD OLD BAR 2430","152.590316904","-31.969356651",NA,NA,NA,NA,NA,NA,NA,NA,2,"N","Y","Y",88,"2022-08-04",NA,"2022-09-26T00:00:00","2022-08-12T00:00:00","N",NA,NA
"1165","PAN-316654",5115608,72,NA,"Determined","Development Application","Council","Mid-Coast Council","Stratum / community title subdivision","7 PETREL PLACE TEA GARDENS 2324","152.162821249","-32.642528648","7","PETREL","PLACE","TEA GARDENS","2324","New South Wales",NA,NA,1,"N","N","Y",48,"2023-04-18","2023-12-27","2023-05-29T00:00:00","2023-04-21T00:00:00","N",NA,NA
"1166","PAN-324806",5060000,1,3,"Determined","Development Application","Local Planning Panel","Mosman Municipal Council","Dwelling","15 MORELLA ROAD MOSMAN 2088","151.251547309","-33.840162262","15","MORELLA","ROAD","MOSMAN","2088","New South Wales",NA,NA,1,"N","Y","N",NA,"2023-05-17","2023-12-20","2023-06-07T00:00:00","2023-05-23T00:00:00","N","Y",NA
"1167","PAN-289651",9744606,10,6,"Determined","Development Application","Local Planning Panel","Ryde City Council","Residential flat building-Mixed use development","28 EAGLE STREET RYDE 2112","151.105185256","-33.817855549","28","EAGLE","STREET","RYDE","2112","New South Wales",NA,NA,NA,"N","Y","N",NA,"2022-12-16","2023-12-14","2023-01-19T00:00:00","2022-12-19T00:00:00","N","Y",NA
"1168","PAN-296773",57257200,138,4,"Determined","Development Application","Council","Queanbeyan-Palerang Regional Council","Residential flat building-Subdivision of land","43 MCFARLANE AVENUE GOOGONG 2620","149.228616363","-35.422703675","43","MCFARLANE","AVENUE","GOOGONG","2620","New South Wales",NA,NA,1,"N","N","Y",139,"2023-03-17","2023-11-27","2023-04-25T00:00:00","2023-03-23T00:00:00","N",NA,NA
"1169","PAN-335203",10100070,1,NA,"Determined","Development Application","Council","Byron Shire Council","Dwelling-Pools / decks / fencing-Demolition-Earthworks / change in levels","150 TANDYS LANE BRUNSWICK HEADS 2483","153.550454764","-28.5722025893","150","TANDYS","LANE","BRUNSWICK HEADS","2483","New South Wales",NA,NA,NA,"N","Y","N",NA,"2023-06-20","2023-12-14","2023-07-17T00:00:00","2023-07-04T00:00:00","N",NA,NA
"1170","PAN-273759",7344487,1,3,"Determined","Development Application","Local Planning Panel","Woollahra Municipal Council","Dwelling-Pools / decks / fencing-Demolition","30 OLOLA AVENUE VAUCLUSE 2030","151.275004161","-33.858088086","30","OLOLA","AVENUE","VAUCLUSE","2030","New South Wales",NA,NA,NA,"N","N","N",NA,"2022-10-24","2023-12-21","2022-12-01T00:00:00","2022-11-16T00:00:00","N","Y",NA
"1171","PAN-328455",5364244,2,4,"Deferred Commencement","Development Application","Council","Northern Beaches Council","Dwelling","50 CONDOVER STREET NORTH BALGOWLAH 2093","151.256838311","-33.786048855","50","CONDOVER","STREET","NORTH BALGOWLAH","2093","New South Wales",NA,NA,NA,"N","Y","N",NA,"2023-05-12","2023-12-22","2023-06-05T00:00:00","2023-05-22T00:00:00","N","N",NA
"1172","PAN-260159",17670000,35,4,"Determined","Development Application","Local Planning Panel","Northern Beaches Council","Residential flat building","171 FOREST WAY BELROSE 2085","151.222086418","-33.729088238","171","FOREST","WAY","BELROSE","2085","New South Wales",NA,NA,1,"N","N","Y",35,"2022-11-29","2023-12-13","2023-01-24T00:00:00","2022-12-05T00:00:00","N","N",NA
"1173","PAN-119064",8780870,20,2,"Determined","Development Application","Council","Byron Shire Council","Multi-dwelling housing-Subdivision of land","24-34 Bayside Way, Brunswick Heads","153.547784213","-28.555575253","24","BAYSIDE","WAY","BRUNSWICK HEADS","2483","New South Wales","34",NA,6,"N","N","Y",20,"2021-07-25","2022-11-10","2021-09-02T00:00:00","2021-08-06T00:00:00","N",NA,NA
"1174","PAN-130837",44516811,376,NA,"Determined","Development Application","Sydney / Regional Planning Panel","Cumberland Council","Residential flat building-Mixed use development","14 CHURCH STREET LIDCOMBE 2141","151.046508334","-33.863489711",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y","N",NA,"2021-09-07","2021-11-05","2021-10-01T00:00:00","2021-09-17T00:00:00","N","Y",NA
"1175","PAN-13378",9574594,14,3,"Determined","Development Application","Local Planning Panel","Northern Beaches Council","Residential flat building","50 GOLF AVENUE MONA VALE 2103","151.31104821","-33.679707585","50","GOLF","AVENUE","MONA VALE","2103","New South Wales",NA,NA,NA,"N","Y","N",NA,"2020-05-08","2020-10-07","2020-06-05T00:00:00","2020-05-22T00:00:00","N","N",NA
"1176","PAN-193375",34007923,93,3,"Determined","Development Application","Unknown","Liverpool City Council","Dwelling-Secondary dwelling-Attached dwelling-Semi-attached dwelling-Multi-dwelling housing-Subdivision of land-Stormwater management systems-Earthworks / change in levels","1382-1384 CAMDEN VALLEY WAY LEPPINGTON 2179","150.819494625","-33.963822443","1382","CAMDEN VALLEY","WAY","LEPPINGTON","2179","New South Wales","1384",NA,2,"N","Y","Y",96,"2022-02-16","2023-03-30","2022-04-07T00:00:00","2022-03-09T00:00:00","N",NA,NA
"1177","PAN-193375",34007923,93,3,"Determined","Development Application","Unknown","Liverpool City Council","Dwelling-Secondary dwelling-Attached dwelling-Semi-attached dwelling-Multi-dwelling housing-Subdivision of land-Stormwater management systems-Earthworks / change in levels","1382-1384 CAMDEN VALLEY WAY LEPPINGTON 2179","150.819494625","-33.963822443","1382","CAMDEN VALLEY","WAY","LEPPINGTON","2179","New South Wales","1384",NA,2,"N","Y","Y",96,"2022-02-16","2023-03-30","2022-04-07T00:00:00","2022-03-09T00:00:00","N",NA,NA
"1178","PAN-231052",23556616,36,11,"Determined","Development Application","Council","Mid-Coast Council","Demolition-Residential flat building","36-56 MANNING STREET TUNCURRY 2428","152.499955979","-32.177014223","36","MANNING","STREET","TUNCURRY","2428","New South Wales","56",NA,NA,"N","Y",NA,NA,"2022-06-27","2023-09-06","2022-09-12T00:00:00","2022-08-03T00:00:00","N","N",NA
"1179","PAN-153686",12640915,23,NA,"Rejected","Development Application","Unknown","Liverpool City Council","Attached dwelling-Dual occupancy-Demolition-Subdivision of land","532 BRINGELLY ROAD AUSTRAL 2179","150.795597085","-33.947562195","532","BRINGELLY","ROAD","AUSTRAL","2179","New South Wales",NA,NA,NA,"N","N","Y",45,"2021-10-18",NA,NA,NA,NA,NA,NA
"1180","PAN-191542",12640915,23,NA,"Determined","Development Application","Council staff under delegated authority","Liverpool City Council","Attached dwelling-Dual occupancy-Demolition-Subdivision of land","532 BRINGELLY ROAD AUSTRAL 2179","150.795597085","-33.947562195","532","BRINGELLY","ROAD","AUSTRAL","2179","New South Wales",NA,NA,NA,"N","N","Y",45,"2022-02-11","2023-12-20",NA,NA,"N",NA,NA
"1181","PAN-359800",169422000,72,7,"Additional Information Requested","Development Application","Unknown","North Sydney Council","Signage-Stratum / community title subdivision-Facilities for electric vehicles-Shop top housing-Mixed use development-Garages, carports and car parking spaces-Retail premises ","1/-/DP617129","151.133768263","-33.090211255",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y","Y","Y",4,"2023-09-01",NA,"2023-10-27T00:00:00","2023-09-29T00:00:00","N",NA,NA
"1182","PAN-99092",23515512,63,7,"Determined","Development Application","Local Planning Panel","Camden Council","Residential flat building","88 PODIUM WAY ORAN PARK 2570","150.738724774554","-34.0004818497696","88","PODIUM","WAY","ORAN PARK","2570","New South Wales",NA,NA,NA,"N","Y","N",NA,"2021-05-21","2021-12-16","2021-06-22T00:00:00","2021-06-09T00:00:00","Y","Y",NA
"1183","PAN-394140",22161399.93,38,NA,"Withdrawn","Development Application","Unknown","Ku-ring-gai Council","Demolition-Residential flat building-Erection of a new structure","3 BEACONSFIELD PARADE LINDFIELD 2070","151.167465916","-33.776624907","3","BEACONSFIELD","PARADE","LINDFIELD","2070","New South Wales",NA,NA,NA,"N","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1184","PAN-357408",9311683,29,10,"Under Assessment","Development Application","Unknown","Bayside Council","Shop top housing-Garages, carports and car parking spaces","SHOP 6 2-4 KING STREET ROCKDALE 2216","151.138579238","-33.952142529","2","KING","STREET","ROCKDALE","2216","New South Wales","4",NA,2,"N","Y","Y",29,"2023-08-12",NA,"2023-10-06T00:00:00","2023-09-06T00:00:00","N",NA,NA
"1185","PAN-357408",9311683,29,10,"Under Assessment","Development Application","Unknown","Bayside Council","Shop top housing-Garages, carports and car parking spaces","SHOP 6 2-4 KING STREET ROCKDALE 2216","151.138579238","-33.952142529","2","KING","STREET","ROCKDALE","2216","New South Wales","4",NA,2,"N","Y","Y",29,"2023-08-12",NA,"2023-10-06T00:00:00","2023-09-06T00:00:00","N",NA,NA
"1186","PAN-109464",32103309,123,3,"Determined","Development Application","Council","Queanbeyan-Palerang Regional Council","Multi-dwelling housing-Residential flat building","15 MCFARLANE AVENUE GOOGONG 2620","149.228606654","-35.424164621","15","MCFARLANE","AVENUE","GOOGONG","2620","New South Wales",NA,NA,NA,"N","N","N",NA,"2021-06-25","2022-02-09","2021-08-30T00:00:00","2021-08-02T00:00:00","N",NA,NA
"1187","PAN-389063",6270000,1,1,"Determined","Development Application","Council","Coolamon Shire Council","Dwelling house-Erection of a new structure-Garage, carport or carparking space","3/-/DP1257516","147.967162241","-29.446404181",NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","N",NA,NA,"2023-12-12","2024-01-16",NA,NA,"N",NA,NA
"1188","PAN-397701",7010786,5,NA,"Rejected","Development Application","Unknown","Waverley Council","Demolition-Residential flat building-Erection of a new structure","31 CARLISLE STREET TAMARAMA 2026","151.269204784","-33.897738346","31","CARLISLE","STREET","TAMARAMA","2026","New South Wales",NA,NA,NA,"Y","Y",NA,NA,"2024-01-16",NA,NA,NA,NA,NA,NA
"1189","PAN-240015",5057159,17,3,"Determined","Development Application","Council","Clarence Valley Council","Multi-dwelling housing","6 YAMBA ROAD YAMBA 2464","153.350971262","-29.437379361","6","YAMBA","ROAD","YAMBA","2464","New South Wales",NA,NA,NA,"N","Y","N",NA,"2022-07-12","2023-03-29","2022-07-29T00:00:00","2022-07-15T00:00:00","N",NA,NA
"1190","PAN-396858",8790000,20,2,"Under Assessment","Development Application","Unknown","Central Coast Council","Multi-dwelling housing-Erection of a new structure","12-14 JENNINGS ROAD WYONG 2259","151.419668696","-33.283092831","12","JENNINGS","ROAD","WYONG","2259","New South Wales","14",NA,NA,"N","N",NA,NA,"2024-01-10",NA,"2024-02-16T00:00:00","2024-01-25T00:00:00","N",NA,NA
"1191","PAN-398480",5473790,13,2,"Additional Information Requested","Development Application","Unknown","Lake Macquarie City Council","Multi-dwelling housing-Subdivision-Medium Density Housing-Erection of a new structure","73 RAILWAY STREET TERALBA 2284","151.607762127","-32.957704644","73","RAILWAY","STREET","TERALBA","2284","New South Wales",NA,NA,2,"N","N","Y",16,"2023-12-19",NA,"2024-02-01T00:00:00","2023-12-19T00:00:00","N",NA,NA
